species.names
Dreissena polymorpha
Phlyctiderma semiasperum
Phrontis alba
Phrontis vibex
Physa jennessi
Physella gyrina
Pitar fulminatus
Planorbella trivolvis
Pleuromeris tridentata
Polymesoda caroliniana
Probythinella protera
Promenetus exacuous
Promenetus umbilicatellus
Prunum apicinum
Pteromeris perplana
Radiolucina amianta
Rangia cuneata
Schwartziella catesbyana
Scissula similis
Semele bellastriata
Semele proficua
Semelina nuculoides
Solemya occidentalis
Solemya velum
Sphenia fragilis
Spisula solidissima
Tagelus divisus
Tagelus plebeius
Tampaella tampaensis
Tectonatica pusilla
Teinostoma biscaynense
Texadina sphinctostoma
Turbonilla interrupta
Urosalpinx cinerea
Vitta usnea
Volvulella persimilis
Yoldia limatula
Zebina browniana
Abralia veranyi
Alvania carinata
Antalis entalis
Arrhoges occidentalis
Astarte quadrans
Bathyarca pectunculoides
Chlamys islandica
Cochlodesma leanum
Colus stimpsoni
Costoanachis translirata
Doryteuthis pealeii
Ennucula delphinodonta
Frigidoalvania carinata
Heteranomia squamula
Illex illecebrosus
Laona quadrata
Mendicula pygmaea
Musculus discors
Neptunea decemcostata
Nuculana pernula
Pandora inflata
Polinices immaculatus
Solamen glandula
Thyasira flexuosa
Turbonilla elegantula
Acroloxus lacustris
Anisus vortex
Anodonta anatina
Bithynia leachii
Gyraulus albus
Alcadia alta
Austroselenites alticola
Caracolus carocolla
Cepolis squamosa
Diplosolenodes occidentalis
Gaeotis nigrolineata
Helicina striata
Nenia tridens
Neopupina crocea
Oleacina glabra
Oleacina playa
Parthena acutangula
Platysuccinea portoricensis
Stenogyra terebraster
Phorcus turbinatus
Watasenia scintillans
Doryteuthis opalescens
Fusitriton oregonensis
Neverita lewisii
Onykia robusta
Rossia pacifica
Abyssogena phaseoliformis
Acharax johnsoni
Bathyacmaea nipponica
Bathymodiolus septemdierum
Gigantidas platifrons
Provanna glabra
Aplysia californica
Atrimitra idae
Californiconus californicus
Chaceia ovoidea
Crassadoma gigantea
Haliotis corrugata
Kelletia kelletii
Megastraea undosa
Megathura crenulata
Mytilus californianus
Neobernaya spadicea
Norrisia norrisii
Parapholas californica
Pomaulax gibberosus
Pteropurpura trialata
Limacina helicina
