value
Apis mellifera
Sisyrinchium angustifolium
Commelina communis
Gagea bohemica
Cyperus alternifolius
Juncus tenuis
Aristida oligantha
Arundo donax
Brachiaria eruciformis
Eleusine indica
Hordeum distichon
Panicum dichotomiflorum
Panicum miliaceum
Paspalum dilatatum
Paspalum distichum
Phalaris canariensis
Secale cereale
Setaria italica
Sorghum halepense
Spartina versicolor
Sporobolus indicus
Trisetum aureum
Triticum aestivum
Triticum monococcum
Zea mays
Canna indica
Anethum graveolens
Cyclospermum leptophyllum
Levisticum officinale
Aralia spinosa
Hedera algeriensis
Ambrosia artemisiifolia
Artemisia verlotiorum
Aster squamatus
Bidens frondosa
Calendula officinalis
Chamaemelum fuscatum
Cotula anthemoides
Cynara cardunculus
Cynara scolymus
Eclipta alba
Erigeron annuus
Erigeron canadensis
Galinsoga parviflora
Glebionis segetum
Helianthus annuus
Helianthus tuberosus
Inula helenium
Lactuca sativa
Matricaria discoidea
Senecio angulatus
Symphyotrichum squamatum
Tagetes erecta
Tagetes minuta
Xanthium orientale
Zinnia elegans
Heliotropium curassavicum
Armoracia rusticana
Brassica nigra
Brassica rapa
Erucastrum nasturtiifolium
Erysimum cheiri
Lepidium bonariense
Lepidium didymum
Lepidium virginicum
Lobularia maritima
Raphanus sativus
Carpobrotus edulis
Amaranthus albus
Amaranthus blitoides
Amaranthus cruentus
Amaranthus deflexus
Amaranthus hybridus
Amaranthus retroflexus
Amaranthus spinosus
Amaranthus viridis
Atriplex hortensis
Bassia prostrata
Bassia scoparia
Beta vulgaris
Celosia argentea
Celosia cristata
Chenopodium capitatum
Chenopodium pumilio
Chenopodium urbicum
Cycloloma atriplicifolium
Dysphania ambrosioides
Dysphania multifida
Opuntia ficus-indica
Eudianthe coeli-rosa
Mirabilis jalapa
Phytolacca americana
Fagopyrum esculentum
Fagopyrum tataricum
Fallopia baldschuanica
Persicaria orientalis
Portulaca oleracea
Citrullus lanatus
Cucurbita pepo
Symphoricarpos albus
Impatiens balfourii
Impatiens balsamina
Impatiens parviflora
Diospyros lotus
Acacia dealbata
Acacia saligna
Amorpha fruticosa
Cicer arietinum
Genista monspessulana
Lathyrus pallescens
Lathyrus sativus
Lathyrus saxatilis
Lens culinaris
Medicago sativa
Onobrychis viciifolia
Phaseolus vulgaris
Pisum sativum
Trifolium alexandrinum
Trigonella foenum-graecum
Trigonella glabra
Vicia faba
Gomphocarpus fruticosus
Rubia tinctorum
Campsis radicans
Mentha spicata
Mentha suaveolens
Mentha xpiperita
Origanum majorana
Plectranthus scutellarioides
Lindernia dubia
Orobanche krylovii
Orobanche lavandulacea
Antirrhinum majus
Cymbalaria muralis
Veronica peregrina
Veronica persica
Buddleja davidii
Verbascum orientale
Euphorbia lathyris
Euphorbia maculata
Euphorbia nutans
Euphorbia prostrata
Linum usitatissimum
Salix babylonica
Abelmoschus esculentus
Abutilon theophrasti
Alcea rosea
Ammannia coccinea
Punica granatum
Eucalyptus camaldulensis
Eucalyptus globulus
Oenothera biennis
Oenothera fallax
Oenothera glazioviana
Oenothera parodiana
Oenothera suaveolens
Oxalis eurpaea
Oxalis pes-caprae
Oxalis stricta
Corydalis pumila
Papaver somniferum
Anemone ranunculoides
Cannabis sativa
Elaeagnus angustifolia
Hippophae rhamnoides
Broussonetia papyrifera
Ficus carica
Morus alba
Morus nigra
Cydonia oblonga
Mespilus germanica
Prunus armeniaca
Prunus avium
Prunus domestica
Prunus persica
Acer negundo
Cardiospermum halicacabum
Cuscuta pentagona
Dichondra micrantha
Ipomoea purpurea
Datura ferox
Datura stramonium
Lycopersicon esculentum
Nicandra physalodes
Nicotiana rustica
Nicotiana tabacum
Petunia hybrida
Physalis angulata
Physalis pubescens
Solanum angustifolium
Solanum lycopersicum
Solanum physalifolium
Solanum pseudocapsicum
Solanum sodomeum
Solanum triflorum
Solanum tuberosum
Parthenocissus quinquefolia
Vitis labrusca
Vitis vinifera
Cupressus sempervirens
Cedrus deodara
Pinus pinaster
Azolla filiculoides
Varroa destructor
Phoracantha semipunctata
Tomicus piniperda
Paratrechina longicornis
Lymantria dispar
Thaumetopoea pityocampa
Hemiramphus far
Gephyroberyx darwinii
Abramis brama
Alburnus alburnus
Leuciscus aspius
Scardinius erythrophthalmus
Esox lucius
Gasterosteus aculeatus
Chaunax suttkusi
Halosaurus ovenii
Micropterus salmoides
Coptodon zillii
Oreochromis macrochir
Oreochromis mossambicus
Oreochromis niloticus
Psenes pellucidus
Osphronemus goramy
Salmo trutta
Silurus glanis
Fistularia commersonii
Lagocephalus sceleratus
Oxyura jamaicensis
Streptopelia decaocto
Bubulcus ibis
Psittacula krameri
Carcharhinus altimus
Carcharhinus falciformis
Isurus paucus
Bos taurus
Equus asinus
Oculina patagonica
Magallana gigas
Echinolittorina punctata
Colpomenia peregrina
Seiridium cardinale
Asparagopsis armata
Antithamnion amphigeneum
Antithamnionella boergesenii
Acorus gramineus
Alisma plantago-aquatica
Aponogeton distachyos
Aglaonema commutatum
Aglaonema costatum
Aglaonema curtisii
Aglaonema marantifolium
Aglaonema robeleynii
Alocasia macrorrhizos
Anthurium acaule
Anthurium andraeanum
Anthurium crassinervium
Anthurium crystallinum
Anthurium geitnerianum
Anthurium hookeri
Anthurium leuconeurum
Anthurium magnificum
Anthurium scherzerianum
Anthurium veitchii
Colocasia esculenta
Helicodiceros muscivorus
Lemna perpusilla
Archontophoenix cunninghamiana
Arenga pinnata
Syagrus romanzoffiana
Agapanthus africanus
Agapanthus inapertus
Agapanthus praecox
Allium ampeloprasum
Allium cernuum
Allium cyrilli
Allium fistulosum
Allium schoenoprasum
Amaryllis belladonna
Nothoscordum borbonicum
Nothoscordum gracile
Agave angustifolia
Agave atrovirens
Agave attenuata
Agave brachystachys
Agave bracteosa
Agave cantula
Agave filifera
Agave geminiflora
Agave kerchovei
Agave mitis
Agave parrasana
Agave potatorum
Agave rupicornis
Agave salmiana
Agave sisalana
Agave striata
Agave victoriae
Agave xylonacantha
Anthericum sativum
Asparagus aethiopicus
Asparagus africanus
Asparagus asparagoides
Asparagus broussonetii
Asparagus densiflorus
Asparagus falcatus
Asparagus longiflorus
Asparagus scaber
Asparagus scoparius
Asparagus setaceus
Asparagus tenuifolius
Asparagus verticillatus
Asparagus virgatus
Aspidistra elatior
Aspidistra lurida
Yucca gloriosa
Aloe xspinosissima
Aloe arborescens
Aloe brevifolia
Aloe camperi
Aloe commutata
Aloe ferox
Aloe grandidentata
Aloe humilis
Aloe littoralis
Aloe macrocarpa
Aloe marlothii
Aloe microstigma
Aloe obscura
Aloe perfoliata
Aloe perryi
Aloe plicatilis
Aloe pluridens
Aloe porphyrostachys
Aloe schimperi
Aloe striata
Aloe succotrina
Aloe vera
Aloiampelos ciliaris
Aloidendron barberae
Aristaloe aristata
Asphodelus macrocarpus
Asphodelus tenuifolius
Astelia banksii
Antholyza meriana
Aristea cyanea
Aristea ecklonii
Chasmanthe aethiopica
Iris albicans
Aerangis biloba
Commelina chamissonis
Tradescantia zebrina
Anigozanthos pulcherrimus
Alstroemeria chilensis
Aechmea bracteata
Aechmea comata
Aechmea drakeana
Aechmea miniata
Aechmea weilbachii
Ananas comosus
Aegilops cylindrica
Aegylops peregrina
Agrostis glauca
Bromus catharticus
Bromus tectorum
Cenchrus clandestinus
Dactyloctenium aegyptium
Digitaria ciliaris
Drepanostachyum falcatum
Elymus repens
Pennisetum villosum
Phalaris paradoxa
Pleioblastus fortunei
Setaria parviflora
Setaria verticillata
Alpinia zerumbet
Angelica archangelica
Tetrapanax papyrifer
Achillea filipendulina
Achillea millefolium
Achillea roseoalba
Ageratina adenophora
Ageratum conyzoides
Ageratum houstonianum
Ambrosia maritima
Ammobium alatum
Anacyclus clavatus
Andryala tenuifolia
Anthemis tinctoria
Arctium lappa
Arctotis acaulis
Arctotis hirsuta
Arctotis stoechadifolia
Arctotis venusta
Arnica sachalinensis
Artemisia annua
Artemisia argentea
Artemisia dracunculus
Artemisia gallica
Artemisia herba-alba
Artemisia valentina
Aster amellus
Aster brachytrichus
Aster commutatus
Aster farreri
Aster karvinskianum
Aster versicolor
Crepis bursifolia
Erigeron karvinskianus
Felicia amelloides
Senecio mikanioides
Sonchus oleraceus
Symphyotrichum foliaceum
Verbesina encelioides
Alkanna tinctoria
Anchusa capensis
Anchusa officinalis
Phacelia tanacetifolia
Alyssum clypeatum
Aurinia saxatilis
Raphanus raphanistrum
Tropaeolum majus
Mesembryanthemum cordifolium
Acnida cannabina
Amaranthus caudatus
Amaranthus lividus
Amaranthus muricatus
Amaranthus tricolor
Atriplex lindleyi
Atriplex nummularia
Atriplex semibaccata
Chenopodium album
Salsola vermiculata
Anacampseros arachnoides
Anacampseros filamentosa
Anredera cordifolia
Cereus acutangulus
Disocactus flagelliformis
Bougainvillea spectabilis
Armeria arctica
Antigonon guatimalense
Antigonon leptopus
Rumex acetosella
Abelia rupestris
Abelia uniflora
Zabelia triflora
Arbutus andrachne
Arbutus canariensis
Ardisia crenata
Lysimachia arvensis
Manilkara zapota
Abrus precatorius
Acacia armata
Acacia baileyana
Acacia buxifolia
Acacia cyclops
Acacia dietrichiana
Acacia floribunda
Acacia mearnsii
Acacia melanoxylon
Acacia pendula
Acacia pycnantha
Acacia retinodes
Adenanthera pavonina
Alysicarpus longifolius
Amorpha californica
Amorpha tomentosa
Apios americana
Arachis hypogaea
Astragalus creticus
Astragalus falcatus
Astragalus glycyphyllos
Astragalus tragacantha
Dorycnopsis gerardii
Leucaena leucocephala
Parasenegalia visco
Paraserianthes lophantha
Parkinsonia aculeata
Prosopis juliflora
Ulex europaeus
Vachellia caven
Vachellia farnesiana
Vachellia karroo
Vachellia macracantha
Polygala myrtifolia
Alnus cordata
Casuarina cunninghamiana
Casuarina equisetifolia
Aucuba crotonifolia
Aucuba japonica
Acokanthera oblongifolia
Allamanda cathartica
Allamanda schottii
Araujia sericifera
Asclepias curassavica
Asclepias incarnata
Asclepias syriaca
Justicia adhatoda
Dolichandra unguis-cati
Podranea ricasoliana
Nautilocalyx lynchii
Clerodendrum chinense
Ibicella lutea
Orobanche cernua
Orobanche crenata
Alonsoa meridionalis
Cinnamomum camphora
Annona cherimola
Annona muricata
Annona squamosa
Acalypha hispida
Acalypha indica
Acalypha wilkesiana
Aleurites cordata
Aleurites moluccanus
Euphorbia serpens
Vernicia fordii
Dovyalis caffra
Abroma augustum
Abutilon aurantiacum
Abutilon coccineum
Abutilon grandiflorum
Abutilon hirtum
Abutilon striatum
Adansonia digitata
Althaea officinalis
Callianthe bedfordiana
Callianthe striata
Wissadula excelsior
Miconia calvescens
Eucalyptus cladocalyx
Pimenta dioica
Oxalis debilis
Oxalis purpurea
Aristolochia clematitis
Aristolochia elegans
Aristolochia fimbriata
Aristolochia kaempferi
Aristolochia labiata
Aristolochia macrophylla
Asarum europaeum
Adonis autumnalis
Anemone coronaria
Anemone japonica
Aquilegia alpina
Aquilegia chrysantha
Aquilegia flabellata
Aquilegia formosa
Aquilegia sibirica
Prunus tenella
Azadirachta indica
Acer pseudoplatanus
Acer saccharinum
Aesculus californica
Aesculus carnea
Aesculus hippocastanum
Cardiospermum grandiflorum
Aeonium aizoon
Aeonium arboreum
Aeonium undulatum
Aeonium urbicum
Nicotiana glauca
Physalis peruviana
Solanum bonariense
Solanum elaeagnifolium
Ampelopsis aconitifolia
Ampelopsis heterophylla
Ampelopsis humulifolia
Araucaria araucana
Araucaria bidwillii
Araucaria columnaris
Araucaria cookii
Abies nordmanniana
Alsophila australis
Athyrium distentifolium
Adiantum cuneatum
Adiantum macrophyllum
Marsilea minuta
West Nile virus (WNV)
Avipoxvirus (AVP)
Monochamus sutor
Acanthoscelides obtectus
Bruchus pisorum
Bruchus rufimanus
Callosobruchus chinensis
Leptinotarsa decemlineata
Pentarthrum confine
Trachyopella straminea
Pseudoperonospora cubensis
Entoleuca mammata
Senecio inaequidens
Xyleborus volvulus
Bactrocera dorsalis
Bactrocera invadens
Ceratitis capitata
Aonidomytilus albus
Icerya purchasi
Monomorium destructor
Monomorium floricola
Pheidole megacephala
Penaeus monodon
Coptodon rendalli
Columba livia
Yersinia pestis
Acanthophora spicifera
Hypnea musciformis
Pistia stratiotes
Wolffia globosa
Potamogeton fluitans
Zostera noltii
Hymenocallis littoralis
Furcraea foetida
Vanilla planifolia
Tinantia erecta
Eichhornia crassipes
Eichhornia diversifolia
Anthephora cristata
Cenchrus biflorus
Cenchrus ciliaris
Coix lacryma-jobi
Cortaderia selloana
Cymbopogon citratus
Cynodon incompletus
Eleusine coracana
Panicum repens
Paspalum urvillei
Rottboellia cochinchinensis
Saccharum officinarum
Sorghum bicolor
Apium graveolens
Coriandrum sativum
Daucus carota
Foeniculum vulgare
Hydrocotyle bonariensis
Hydrocotyle ranunculoides
Bidens pilosa
Chromolaena odorata
Chrysanthellum indicum
Cosmos sulphureus
Eclipta prostrata
Gnaphalium polycaulon
Pseudoconyza viscosa
Sonchus asper
Synedrella nodiflora
Tithonia diversifolia
Tridax procumbens
Heliotropium indicum
Heliotropium supinum
Brassica juncea
Nasturtium officinale
Carica papaya
Moringa oleifera
Tetragonia tetragonioides
Achyranthes aspera
Alternanthera pungens
Alternanthera sessilis
Chenopodiastrum murale
Chenopodium opulifolium
Gomphrena globosa
Guilleminea densa
Opuntia stricta
Drymaria cordata
Spergula arvensis
Spergularia media
Stellaria media
Mollugo verticillata
Boerhavia erecta
Persicaria capitata
Polygonum aviculare
Rumex crispus
Rumex nepalensis
Cucumis melo
Sicyos polyacanthos
Acacia decurrens
Acacia nilotica
Bauhinia monandra
Caesalpinia bonduc
Caesalpinia decapetala
Caesalpinia gilliesii
Caesalpinia pulcherrima
Cajanus cajan
Calopogonium mucunoides
Canavalia ensiformis
Canavalia regalis
Canavalia virosa
Cassia javanica
Centrosema pubescens
Delonix regia
Desmanthus virgatus
Desmodium discolor
Desmodium intortum
Desmodium tortuosum
Desmodium uncinatum
Falcataria moluccana
Haematoxylum campechianum
Indigofera suffruticosa
Inga affinis
Inga edulis
Inga vera
Macroptilium atropurpureum
Medicago polymorpha
Melilotus albus
Millettia thonningii
Mimosa scabrella
Neptunia oleracea
Phaseolus lunatus
Prosopis chilensis
Pueraria phaseoloides
Samanea saman
Senna alata
Senna hirsuta
Senna obtusifolia
Senna occidentalis
Senna septemtrionalis
Senna siamea
Senna spectabilis
Spartium junceum
Stylosanthes guianensis
Vicia hirsuta
Vicia sativa
Vigna mungo
Vigna radiata
Vigna subterranea
Calotropis gigantea
Funtumia africana
Gomphocarpus physocarpus
Thevetia peruviana
Ixora coccinea
Richardia scabra
Cantinoa americana
Hyptis pectinata
Olea europaea
Plantago major
Duranta erecta
Lantana strigocamara
Stachytarpheta urticifolia
Euphorbia hirta
Euphorbia indica
Euphorbia pulcherrima
Jatropha chevalieri
Jatropha curcas
Jatropha multifida
Mercurialis annua
Vernicia cordata
Vernicia montana
Passiflora edulis
Passiflora foetida
Phyllanthus amarus
Phyllanthus tenellus
Populus alba
Bixa orellana
Gossypium hirsutum
Malva parviflora
Malva sylvestris
Pachira glabra
Sida cordifolia
Sida rhombifolia
Sidastrum paniculatum
Combretum indicum
Trapa natans
Psidium guajava
Psidium guineense
Epilobium hirsutum
Oenothera tetraptera
Argemone mexicana
Fumaria muralis
Anacardium occidentale
Schinus molle
Schinus terebinthifolia
Spondias mombin
Citrus aurantiifolia
Citrus aurantium
Ruta chalepensis
Nephelium lappaceum
Sapindus saponaria
Kalanchoe pinnata
Kalanchoe tubiflora
Ipomoea alba
Ipomoea batatas
Ipomoea muricata
Ipomoea quamoclit
Capsicum baccatum
Capsicum frutescens
Datura innoxia
Datura metel
Physalis lagascae
Schwenkia americana
Solanum aethiopicum
Solanum americanum
Solanum betaceum
Solanum mauritianum
Solanum melongena
Solanum nigrum
Solanum torvum
Solanum villosum
Solanum wendlandii
Cupressus lusitanica
Pityrogramma calomelanos
Lygodium microphyllum
Aedes aegypti
Anopheles albimanus
Culex quinquefasciatus
Anastrepha obliqua
Aleurotrachelus atratus
Maconellicoccus hirsutus
Cardiocondyla emeryi
Pheidole teneriffana
Pyramica emmae
Solenopsis geminata
Solenopsis invicta
Tapinoma melanocephalum
Tetramorium bicarinatum
Tetramorium lanuginosum
Wasmannia auropunctata
Cactoblastis cactorum
Oreochromis aureus
Pterois miles
Pterois volitans
Rhinella marina
Osteopilus septentrionalis
Capra hircus
Ovis aries
Dama dama
Sus scrofa
Canis lupus
Felis catus
Herpestes javanicus
Equus caballus
Pantherophis guttatus
Hemidactylus mabouia
Gymnophthalmus underwoodi
Iguana iguana
Chelonoidis carbonarius
Zachrysia provisoria
Veronicella cubensis
Syngonium podophyllum
Cocos nucifera
Sansevieria hyacinthoides
Tradescantia spathacea
Dioscorea alata
Dioscorea bulbifera
Bothriochloa pertusa
Brachiaria mutica
Cenchrus purpureus
Echinochloa colona
Panicum maximum
Alpinia purpurata
Cosmos caudatus
Cyanthillium cinereum
Emilia fosbergii
Launaea intybacea
Scaevola sericea
Cordia obliqua
Sieruela rutidosperma
Barringtonia asiatica
Albizia procera
Albizia saman
Alysicarpus vaginalis
Crotalaria retusa
Dalbergia sissoo
Gliricidia sepium
Indigofera tinctoria
Leucaena diversifolia
Pithecellobium dulce
Sesbania sericea
Tephrosia candida
Casuarina glauca
Thunbergia alata
Thunbergia fragrans
Clerodendrum indicum
Coleus amboinicus
Leonurus japonicus
Jasminum fluminense
Annona reticulata
Flacourtia indica
Terminalia catappa
Lagerstroemia indica
Eugenia uniflora
Melaleuca quinquenervia
Syzygium jambos
Artocarpus altilis
Ficus benjamina
Triphasia trifolia
Melicoccus bijugatus
Brugmansia suaveolens
Solanum mammosum
Christella dentata
Allolobophora georgii
Allolobophora transpadana
Aporrectodea caliginosa
Aporrectodea rosea
Aporrectodea trapezoides
Bimastos constrictus
Bimastos parvus
Dendrodrilus rubidus
Eisenia fetida
Eisenia veneta
Eiseniella tetraedra
Enterion cyaneum
Enterion tyrtaeum
Octodrilus complanatum
Dichogaster bolaui
Dichogaster saliens
Megascolex diffringens
Metapheretima taprobanae
Perichaeta hawayana
Perichaeta morrisi
Perichaeta posthuma
Pheretima californica
Schistomeringos rudolphi
Alitta succinea
Haplosyllis spongicola
Syllis gracilis
Manayunkia speciosa
Ficopomatus enigmaticus
Hydroides dianthus
Hydroides elegans
Neodexiospira pseudocorrugata
Simplaria pseudomilitaris
Boccardia proboscidea
Boccardiella ligerica
Dipolydora flava
Dipolydora socialis
Polydora ciliata
Polydora cornuta
Eurytemora americana
Anthonomus grandis
Cinara cupressi
Diaphorina citri
Bombus ruderatus
Bombus terrestris
Monomorium pharaonis
Tetramorium caespitum
Sirex noctilio
Vespula germanica
Ampithoe valida
Cymadusa filosa
Caprella equilibra
Caprella penantis
Corophium acherusicum
Corophium insidiosum
Crassicorophium bonelli
Jassa marmorata
Jassa slatteryi
Maera grossimana
Melita palmata
Orchestia gammarella
Orchestia mediterranea
Orchestia platensis
Panopeus meridionalis
Carcinus maenas
Pyromaia tuberculata
Palaemon macrodactylus
Cherax quadricarinatus
Halophiloscia couchii
Idotea metallica
Synidotea laevidorsalis
Ligia exotica
Limnoria tripunctata
Porcellio lamellatus
Sphaeroma serratum
Neomysis americana
Sinelobus stanfordi
Tanais dulongii
Amphibalanus amphitrite
Balanus amphitrite
Balanus glandula
Balanus improvisus
Balanus trigonus
Bugula neritina
Bugulina flabellata
Bugulina simplex
Bugulina stolonifera
Cryptosula pallasiana
Aspidelectra melolontha
Conopeum reticulum
Conopeum seurati
Fenestrulina delicia
Schizoporella errata
Scruparia ambigua
Amathia gracilis
Amathia verticillata
Federicella autraliensis
Federicella sultana
Hyalinella punctata
Hyalinella vaihiriae
Plumatella casmiana
Plumatella emarginata
Plumatella toanensis
Crisia eburnea
Acipenser baerii
Acipenser gueldenstaedtii
Acipenser stellatus
Huso huso
Astyanax pampa
Cheirodon interruptus
Piaractus mesopotamicus
Coregonus clupeaformis
Oncorhynchus kisutch
Oncorhynchus masou
Oncorhynchus nerka
Oncorhynchus tshawytscha
Salmo salar
Salvelinus namaycush
Corydoras paleatus
Clarias gariepinus
Hypsiboas albomarginatus
Xenopus laevis
Lithobates catesbeianus
Diplosoma listerianum
Lissoclinum fragile
Ascidiella aspersa
Ciona intestinalis
Ciona robusta
Corella eumyota
Molgula manhattensis
Molgula robusta
Botryllus schlosseri
Cnemidocarpa robinsoni
Styela clava
Anas platyrhynchos
Anser anser
Cygnus atratus
Callipepla californica
Chrysolophus amherstiae
Chrysolophus pictus
Lophura leucomelanos
Lophura nycthemera
Carduelis carduelis
Chloris chloris
Passer domesticus
Acridotheres cristatellus
Sturnus vulgaris
Antilope cervicapra
Bubalus bubalis
Capra ibex
Capra pyrenaica
Hemitragus jemlahicus
Rupicapra rupicapra
Lama glama
Axis axis
Elaphurus davidianus
Rangifer tarandus
Vulpes vulpes
Neovison vison
Chaetophractus villosus
Lepus europaeus
Castor canadensis
Ondatra zibethicus
Callosciurus erythraeus
Hemidactylus turcicus
Tarentola mauritanica
Python molurus
Python regius
Python reticulatus
Python sebae
Chrysemys picta
Graptemys pseudogeographica
Pseudemys nelsoni
Trachemys scripta
Bunodactis reynaudi
Oulactis muscosa
Boloceroides mcmurrichi
Diadumene lineata
Bougainvillia muscus
Rhizogeton nudus
Ectopleura crocea
Blackfordia virginica
Obelia bidentata
Eutonina scintillans
Halecium delicatulum
Hebella scandens
Plumularia setacea
Sertularella mediterranea
Dynamena disticha
Barnea truncata
Lyrodus pedicellatus
Teredo furcifera
Teredo navalis
Limnoperna fortunei
Corbicula fluminea
Corbicula largillierti
Sinotaia quadrata
Pseudosuccinea columella
Rapana venosa
Melanoides tuberculata
Physa venustula
Tenellia adspersa
Pleurobranchaea maculata
Allopeas gracile
Lissachatina fulica
Rumina decollata
Deroceras agreste
Deroceras laeve
Deroceras reticulatum
Bradybaena similaris
Ovachlamys fulgens
Cecilioides acicula
Zonitoides arboreus
Zonitoides nitida
Otala lactea
Limacus flavus
Limax maximus
Milax gagates
Physella acuta
Physella cubensis
Vallonia pulchella
Dictyonella hirta
Cliona celata
Halichondria panicea
Hymeniacidon perlevis
Neosiphonia harveyi
Kellicottia bostoniensis
Xanthomonas axonopodis
Xanthomonas fragariae
Haynesina germanica
Dinophysis acuminata
Ceratium furcoides
Gymnodinium catenatum
Coscinodiscus wailesii
Didymosphenia geminata
Odontella sinensis
Cutleria multifida
Dictyota dichotoma
Ectocarpus siliculosus
Undaria pinnatifida
Albugo candida
Phytophthora cinnamomi
Phytophthora colocasiae
Phytophthora infestans
Phytophthora medicaginis
Erysiphe cruciferarum
Leveillula taurica
Puccinia lagenophorae
Batrachochytrium dendrobatidis
Rosenvingiella polyrhiza
Polysiphonia brodiei
Polysiphonia morrowii
Anotrichium furcellatum
Lomentaria clavellosa
Arum italicum
Allium triquetrum
Crinum asiaticum
Crinum powellii
Leucojum aestivum
Narcissus poeticus
Narcissus tazetta
Asparagus officinalis
Iris pseudacorus
Commelina benghalensis
Amphiscirpus nevadensis
Cyperus esculentus
Juncus bufonius
Agrostis capillaris
Agrostis gigantea
Agrostis stolonifera
Aira caryophyllea
Aira elegans
Ammophila arenaria
Apera interrupta
Arrhenatherum elatius
Avena barbata
Avena fatua
Avena sativa
Brachypodium sylvaticum
Briza maxima
Briza media
Briza minor
Bromus cebadilla
Bromus hordeaceus
Bromus japonicus
Bromus racemosus
Bromus rigidus
Bromus secalinus
Bromus sterilis
Catapodium rigidum
Cenchrus americanus
Cenchrus echinatus
Chloris gayana
Corynephorus fasciculatus
Cynosurus echinatus
Dactylis glomerata
Digitaria sanguinalis
Eragrostis cilianensis
Eragrostis curvula
Eragrostis pectinacea
Eragrostis pilosa
Festuca rubra
Holcus lanatus
Hordeum murinum
Leymus arenarius
Lolium multiflorum
Lolium perenne
Lolium rigidum
Melinis repens
Miscanthus sinensis
Parapholis incurva
Phalaris arundinacea
Phalaris minor
Phleum pratense
Poa annua
Poa pratensis
Polypogon monspeliensis
Polypogon viridis
Rostraria cristata
Schismus arabicus
Schismus barbatus
Setaria sphacelata
Setaria viridis
Thinopyrum elongatum
Trisetum spicatum
Urochloa panicoides
Vulpia bromoides
Vulpia myuros
Hedychium coronarium
Ammi majus
Anthriscus caucalis
Bupleurum tenuissimum
Conium maculatum
Oenanthe crocata
Pastinaca sativa
Petroselinum crispum
Torilis nodosa
Visnaga daucoides
Hedera helix
Anthemis cotula
Arctium minus
Artemisia abrotanum
Artemisia absinthium
Bellis perennis
Carduus acanthoides
Carduus nutans
Carduus pycnocephalus
Carduus tenuiflorus
Carthamus lanatus
Carthamus tinctorius
Centaurea calcitrapa
Centaurea cyanus
Centaurea diffusa
Centaurea iberica
Centaurea jacea
Centaurea melitensis
Centaurea solstitialis
Chondrilla juncea
Cichorium intybus
Cirsium vulgare
Cotula australis
Cotula coronopifolia
Crepis capillaris
Crepis foetida
Crepis setosa
Crepis vesicaria
Delairea odorata
Erigeron laevigatus
Hedypnois rhagadioloides
Helminthotheca echioides
Heterotheca subaxillaris
Hieracium praealtum
Hypochaeris glabra
Hypochaeris radicata
Lactuca serriola
Lapsana communis
Leucanthemum vulgare
Matricaria chamomilla
Onopordum acanthium
Pilosella officinarum
Senecio madagascariensis
Senecio sylvaticus
Senecio vulgaris
Silybum marianum
Tanacetum parthenium
