group,x_variable,measure,plot,species.names
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._3,Gadus morhua
1,Year,Abundance,International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| International Council for the Exploration of the Sea (2011). ICES advice for fish stocks (Cod in Division VIIa (Irish Sea))._1,Gadus morhua
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._11",Gadus morhua
1,Year,Abundance,International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| International Council for the Exploration of the Sea (2011). ICES advice for fish stocks (Cod in Subarea IV (North Sea) and Divisions VIId (Eastern Channel) and IIIa West (Skagerrak))._1,Gadus morhua
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._4,Gadus morhua
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._5,Gadus morhua
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database.| Gonzalez-Troncoso, D. and A. Vazquez (2011). Assessment of the Cod Stock in NAFO Division 3M. Scientific Council Meeting- June 2011, northwest Atlantic Fisheries Organisation: 1-39._1",Gadus morhua
1,Year,Abundance,International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| International Council for the Exploration of the Sea (2014). ICES advice for fish stocks (Cod in Subareas I and II - Northeast Arctic Cod). ICES Advice 2014._1,Gadus morhua
1,Year,CPUE,"Heessen, H. J. L. (1996). ""Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey."" ICES Journal of Marine Science 53: 1079-1084._7",Glyptocephalus cynoglossus
1,Year,Abundance,"NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,._18",Hippoglossoides platessoides
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._7,Hippoglossoides platessoides
1,Year,Abundance,International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| International Council for the Exploration of the Sea (2011). ICES advice for fish stocks (Four-spot megrim (Lepidorhombus boscii) in Divisions VIIIc and IXa)._1,Lepidorhombus boscii
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._12",Lepidorhombus whiffiagonis
1,Year,Abundance,International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| International Council for the Exploration of the Sea (2011). ICES advice for fish stocks (Megrim (Lepidorhombus whiffiagonis) in Divisions VIIIc and IXa)._1,Lepidorhombus whiffiagonis
1,Year,Abundance,International Council for the Exploration of the Sea (2009). ICES advice on fish stocks._1,Mallotus villosus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._110",Mallotus villosus
1,Year,Abundance,DFO (1999). Silver hake on the Scotian shelf (Div. 4VWX). DFO Sci. Stock Status Rep. A3-09 (1999)._1,Merluccius bilinearis
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._9,Melanogrammus aeglefinus
1,Year,Abundance,RAM Legacy RAM Legacy Stock Assessment Data Base version 3.0._2,Melanogrammus aeglefinus
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._10,Melanogrammus aeglefinus
1,Year,Abundance,International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| International Council for the Exploration of the Sea (2014). ICES Advice on fish stocks (Haddock in Subareas I and II - Northeast Arctic). ICES Advice 2014. Book 3._1,Melanogrammus aeglefinus
1,Year,Abundance,RAM Legacy RAM Legacy Stock Assessment Data Base version 3.0._3,Melanogrammus aeglefinus
1,Year,Abundance,RAM Legacy RAM Legacy Stock Assessment Data Base version 3.0._4,Merlangius merlangus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._124",Merlangius merlangus
1,Year,Abundance,DFO (2003). Silver Hake on the Scotian Shelf (Div. 4VWX). Sci. Advis. Rep. 2003/052. D. C. S. A. Sec: 6 pp._1,Merluccius bilinearis
1,Year,Abundance,International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| International Council for the Exploration of the Sea (2011). ICES advice for fish stocks (Hake in Divisions VIIIc and IXa (Southern stock)): 9._1,Merluccius merluccius
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._13",Merluccius merluccius
1,Year,Abundance,"International Council for the Exploration of the Sea (2014). ICES advice for fish stocks (Blue whiting in Subareas I–IX, XII, and XIV). ICES Advice Book 9._1",Micromesistius poutassou
1,Year,CPUE,"Heessen, H. J. L. (1996). ""Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey."" ICES Journal of Marine Science 53: 1079-1084._8",Zeugopterus norvegicus
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._11,Myzopsetta ferruginea
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._14",Pleuronectes platessa
1,Year,Abundance,RAM Legacy RAM Legacy Stock Assessment Data Base version 3.0._5,Pleuronectes platessa
1,Year,Abundance,International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| international Council for the Exploration of the Sea (2011). ICES advice for fish stocks (Plaice in Division VIId (Eastern Channel))._1,Pleuronectes platessa
1,Year,Abundance,International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| International Council for the Exploration of the Sea (2011). ICES advice for fish stocks (Plaice in Division VIIe (Western Channel))._1,Pleuronectes platessa
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._15",Pleuronectes platessa
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._12,Pleuronectes platessa
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._13,Pollachius virens
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._16",Pollachius virens
1,Year,Abundance,International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| International Council for the Exploration of the Sea (2014). ICES advice for fish stocks (Saithe in Subareas I and II - Northeast Arctic). ICES Advice 2014._1,Pollachius virens
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._14,Pollachius virens
1,Year,CPUE,"Heessen, H. J. L. (1996). ""Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey."" ICES Journal of Marine Science 53: 1079-1084._9",Scophthalmus maximus
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._15,Scophthalmus maximus
1,Year,Abundance,International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| International Council for the Exploration of the Sea (2011). ICES advice for fish stocks (Greenland halibut in Subareas I and II)._1,Reinhardtius hippoglossoides
1,Year,Abundance,International Council for the Exploration of the Sea (2011). ICES advice on fish stocks.| International Council for the Exploration of the Sea ICES advice for fish stocks (Sardine in Divisions VIIIc and IXa)._1,Sardina pilchardus
1,Year,Abundance,"NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,._19",Sardinops sagax
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._17",Scomber scombrus
1,Year,Density,"Heessen, H. J. L. (1996). ""Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey."" ICES Journal of Marine Science 53: 1079-1084._10",Scophthalmus rhombus
1,Year,Abundance,"DFO (2000). Status of Redfish stocks in the Northwest Atlantic: Redfish in Units 1,2 and in division 3O. DFO Sci. Stock Status Rep. A1-01 (2000)._1",Sebastes norvegicus
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._16,Sebastes norvegicus
1,Year,CPUE,"Heessen, H. J. L. (1996). ""Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey."" ICES Journal of Marine Science 53: 1079-1084._11",Solea solea
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._17,Solea solea
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._18,Solea solea
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._19,Solea solea
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._20,Solea solea
1,Year,Abundance,RAM Legacy RAM Legacy Stock Assessment Data Base version 3.0._7,Solea solea
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._18",Solea solea
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._21,Solea solea
1,Year,CPUE,"Heessen, H. J. L. (1996). ""Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey."" ICES Journal of Marine Science 53: 1079-1084._12",Sprattus sprattus
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._22,Sprattus sprattus
1,Year,Abundance,"Safina, C. (1993). ""Bluefin tuna in the West Atlantic: Negligent management and the making of an endangered species."" Conservation Biology 7(2): 229-234._1",Thunnus thynnus
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._24,Thunnus thynnus
1,Year,CPUE,"Corten, A. and G. v. d. Kamp (1996). ""Variation in the abundance of southern fish species in the southern North sea in relation to hydrography and wind."" ICES Journal of Marine Science 53: 1113-1119._1",Trachurus trachurus
1,Year,CPUE,"Heessen, H. J. L. (1996). ""Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey."" ICES Journal of Marine Science 53: 1079-1084._13",Chelidonichthys lucerna
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._157",Trisopterus esmarkii
1,Year,CPUE,"Corten, A. and G. v. d. Kamp (1996). ""Variation in the abundance of southern fish species in the southern North sea in relation to hydrography and wind."" ICES Journal of Marine Science 53: 1113-1119._3",Trisopterus luscus
1,Year,CPUE,"Corten, A. and G. v. d. Kamp (1996). ""Variation in the abundance of southern fish species in the southern North sea in relation to hydrography and wind."" ICES Journal of Marine Science 53: 1113-1119._4",Trisopterus minutus
1,Year,CPUE,DFO (2001). White hake in the Southern Gulf of St. Lawrence. DFO Sci. Stock Status Rep. A3-12 (2001)._1,Urophycis tenuis
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._25,Xiphias gladius
1,Year,CPUE,DFO (2001). Porbeagle shark in NAFO subareas 3-6. DFO Sci. Stock Status Rep. B3-09 (2001)._1,Lamna nasus
1,Year,CPUE,DFO (2000). Winter skate on the Eastern Scotian shelf (4VsW). DFO Sci. Stock Status Rep. A3-29 (2000)._1,Leucoraja ocellata
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._26,Anoplopoma fimbria
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._167",Clupea pallasii
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._27,Engraulis ringens
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._28,Merluccius productus
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._31,Sebastes alutus
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._33,Gadus chalcogrammus
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._34,Gadus chalcogrammus
1,Year,Abundance,"Allen, R. L. (1985). Dolphins and the purse-seine fishery for yellowfin tuna. Marine Mammals and Fisheries. J. H. Beddington., R. J. H. Beverton. and D. M. Lavigne. London, George Allen & Unwin.: 236-252.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,._1",Thunnus albacares
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._35,Thunnus alalunga
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._202",Coilia dussumieri
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._203",Harpadon nehereus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._205",Thunnus albacares
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._36,Micromesistius australis
1,Year,Abundance,International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| International Council for the Exploration of the Sea (2011). ICES advice for fish stocks (Anchovy in Subarea VIII (Bay of Biscay))._1,Engraulis encrasicolus
1,Year,Abundance,"International Council for the Exploration of the Sea (2010). ICES advice on fish stocks. |  International Council for the Exploration of the Sea (2014). Capelin in Subareas I and II, excluding Division IIa west of 5°W (Barents Sea capelin). ICES Advice, Book 3._1",Mallotus villosus
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._37,Melanogrammus aeglefinus
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._19",Merlangius merlangus
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._20",Clupea harengus
1,Year,Abundance,"Jensen, A. (2004). Unpublished data, Norwegian Institute for Nature Research (NINA)._1",Salmo salar
1,Year,Abundance,Direktoratet for naturforvaltning (2003). Bestandsstatus for laks i Norge 2002. Rapport fra arbeidsgruppe: Utredning 2003-2002._1,Salmo salar
1,Year,Abundance,Direktoratet for naturforvaltning (2003). Bestandsstatus for laks i Norge 2002. Rapport fra arbeidsgruppe: Utredning 2003-2002._2,Salmo salar
1,Year,Density,"Brabrand, Å. (1998). Virkning av flom på vannlevende organismer. HYDRA-rapport nr. Mi02. M. a. f. o. f. tiltak. HYDRA._1",Salmo salar
1,Year,Density,"Saltveit, S. J. and T. Bremnes (2004). Effekt på bunndyr og fisk av ulike vannføringsregimer i Suldalslågen. Suldalslågen – miljørapport nr. 42, Statkraft._1",Salmo salar
