plot,group,x_variable,measure,title,author,journal
051_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.5.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
052_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.6.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
053_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.7.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
054_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.8.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
055_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.9.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
056_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.10.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
057_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.11.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
058_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.12.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
059_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.13.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
060_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.14.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
061_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.15.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
062_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.16.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
063_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.17.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
064_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.18.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
065_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.19.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
066_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.20.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
067_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.21.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
068_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.22.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
069_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.23.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
070_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.24.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
071_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.25.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
072_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.26.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
073_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.27.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
074_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.28.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
075_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.29.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
076_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.30.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
077_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.31.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
078_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.32.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
079_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.33.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
080_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.34.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
081_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.35.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
082_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.36.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
083_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.37.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
084_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.38.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
085_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.39.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
086_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.40.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
087_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.41.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
088_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.42.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
089_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.43.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
090_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.44.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
091_Daskalovaetal_PNAS_2007_SIFig4C.jpg,1,Year,Biomass,Trophic cascades triggered by overfishing reveal possible mechanisms of ecosystem regime shifts,(Daskalov et al. 2007),PNAS
091_Daskalovaetal_PNAS_2007_SIFig4C.jpg,2,Year,Biomass,Trophic cascades triggered by overfishing reveal possible mechanisms of ecosystem regime shifts,(Daskalov et al. 2007),PNAS
091_Daskalovaetal_PNAS_2007_SIFig4C.jpg,3,Year,Biomass,Trophic cascades triggered by overfishing reveal possible mechanisms of ecosystem regime shifts,(Daskalov et al. 2007),PNAS
092_Daskalovaetal_PNAS_2007_SIFig4D.jpg,2,Year,Biomass,Trophic cascades triggered by overfishing reveal possible mechanisms of ecosystem regime shifts,(Daskalov et al. 2007),PNAS
092_Daskalovaetal_PNAS_2007_SIFig4D.jpg,3,Year,Biomass,Trophic cascades triggered by overfishing reveal possible mechanisms of ecosystem regime shifts,(Daskalov et al. 2007),PNAS
103_Gibson-Reinemeretal_BiologicalInvasions_2017_Fig2a.jpg,1,Year,CPUE,Widespread and enduring demographic collapse of invasive common carp (Cyprinus carpio) in the Upper Mississippi River System,(Gibson-Reinemer et al. 2017),BIOLOGICAL INVASIONS
104_Gibson-Reinemeretal_BiologicalInvasions_2017_Fig2b.jpg,1,Year,CPUE,Widespread and enduring demographic collapse of invasive common carp (Cyprinus carpio) in the Upper Mississippi River System,(Gibson-Reinemer et al. 2017),BIOLOGICAL INVASIONS
105_Gibson-Reinemeretal_BiologicalInvasions_2017_Fig2c.jpg,1,Year,CPUE,Widespread and enduring demographic collapse of invasive common carp (Cyprinus carpio) in the Upper Mississippi River System,(Gibson-Reinemer et al. 2017),BIOLOGICAL INVASIONS
106_Angleretal_Oecologia_2010_Fig1.jpg,1,Mon-Year,Biovolume,Identifying Resilience Mechanisms to Recurrent Ecosystem Perturbations,(Angeler et al. 2010),Oecologia
106_Angleretal_Oecologia_2010_Fig1.jpg,2,Mon-Year,Biovolume,Identifying Resilience Mechanisms to Recurrent Ecosystem Perturbations,(Angeler et al. 2010),Oecologia
106_Angleretal_Oecologia_2010_Fig1.jpg,3,Mon-Year,Biovolume,Identifying Resilience Mechanisms to Recurrent Ecosystem Perturbations,(Angeler et al. 2010),Oecologia
121_Dunlop&Riley_JournalofGreatLakesResearch_2013_Fig1A.jpg,1,Year,Density,The contribution of cold winter temperatures to the 2003 alewife population collapse in Lake Huron,(Dunlop & Riley 2013),Journal of Great Lakes Research
122_Dunlop&Riley_JournalofGreatLakesResearch_2013_Fig3B.jpg,1,Year,N,The contribution of cold winter temperatures to the 2003 alewife population collapse in Lake Huron,(Dunlop & Riley 2013),Journal of Great Lakes Research
128_Harrisonetal_Copeia_2013_Fig2-Creek-BS&HC.jpg,1,Mon-Year,Density,Per Capita Effects of Non-native Mayan Cichlids (Cichlasoma uropthalmus; Gunther) on Native Fish in Estuarine Southern Everglades,(Harrison et al. 2013),Copeia
128_Harrisonetal_Copeia_2013_Fig2-Creek-BS&HC.jpg,2,Mon-Year,Density,Per Capita Effects of Non-native Mayan Cichlids (Cichlasoma uropthalmus; Gunther) on Native Fish in Estuarine Southern Everglades,(Harrison et al. 2013),Copeia
129_Harrisonetal_Copeia_2013_Fig2-Creek-JB&TR.jpg,1,Mon-Year,Density,Per Capita Effects of Non-native Mayan Cichlids (Cichlasoma uropthalmus; Gunther) on Native Fish in Estuarine Southern Everglades,(Harrison et al. 2013),Copeia
129_Harrisonetal_Copeia_2013_Fig2-Creek-JB&TR.jpg,2,Mon-Year,Density,Per Capita Effects of Non-native Mayan Cichlids (Cichlasoma uropthalmus; Gunther) on Native Fish in Estuarine Southern Everglades,(Harrison et al. 2013),Copeia
130_Harrisonetal_Copeia_2013_Fig2-Flat-BS&HC.jpg,1,Mon-Year,Density,Per Capita Effects of Non-native Mayan Cichlids (Cichlasoma uropthalmus; Gunther) on Native Fish in Estuarine Southern Everglades,(Harrison et al. 2013),Copeia
130_Harrisonetal_Copeia_2013_Fig2-Flat-BS&HC.jpg,2,Mon-Year,Density,Per Capita Effects of Non-native Mayan Cichlids (Cichlasoma uropthalmus; Gunther) on Native Fish in Estuarine Southern Everglades,(Harrison et al. 2013),Copeia
131_Harrisonetal_Copeia_2013_Fig2-Flat-JB&TR.jpg,1,Mon-Year,Density,Per Capita Effects of Non-native Mayan Cichlids (Cichlasoma uropthalmus; Gunther) on Native Fish in Estuarine Southern Everglades,(Harrison et al. 2013),Copeia
131_Harrisonetal_Copeia_2013_Fig2-Flat-JB&TR.jpg,2,Mon-Year,Density,Per Capita Effects of Non-native Mayan Cichlids (Cichlasoma uropthalmus; Gunther) on Native Fish in Estuarine Southern Everglades,(Harrison et al. 2013),Copeia
137_Lesteretal_JournalofAnimalEcology_2017_Fig2B-Misery.jpg,1,Year,Density,The long-term population dynamics of common wasps in their native and invaded range,(Lester et al. 2017),JOURNAL OF ANIMAL ECOLOGY
139_Letnic&Dickman_BiodiversityandConservation_2006_Fig8B.jpg,1,Mon-Year,CPUE,"Boom means bust: interactions between the El Nino/Southern Oscillation (ENSO), rainfall and the processes threatening mammal species in arid Australia",(Letnic & Dickman 2006),BIODIVERSITY AND CONSERVATION
139_Letnic&Dickman_BiodiversityandConservation_2006_Fig8B.jpg,2,Mon-Year,CPUE,"Boom means bust: interactions between the El Nino/Southern Oscillation (ENSO), rainfall and the processes threatening mammal species in arid Australia",(Letnic & Dickman 2006),BIODIVERSITY AND CONSERVATION
151_Pranty_NorthAmericanBirds_2001_Fig2.jpg,1,Year,N,The Budgerigar in Florida: Rise and Fall of an Exotic Psittacid,(Pranty 2001),North American Birds
152_Salonen&Muteniaetal_AnnZoolFennici_2004_Fig6.jpg,1,Year,CPUE,The commercial coregonid fishery in northernmost Finland - a review,(Salonen & Mutenia 2004),Annales Zoologici Fennici
156_Walshetal_Ecosphere_2017_Fig2.jpg,5,Year,Density,"Invasive invertebrate predator, Bythotrephes longimanus, reverses trophic cascade in a north-temperate lake",(Walsh et al. 2017),Limnology and Oceanography
165_Solomentetal_Oikos_2011_Fig2.jpg,1,Year,CPUE,Comparing energetic and dynamic descriptions of a single food web linkage,(Solomon et al. 2011),Oikos
250_Haubrocketal_GlobalChangeBiology_2022_SuppFig59.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
251_Haubrocketal_GlobalChangeBiology_2022_SuppFig60.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
252_Haubrocketal_GlobalChangeBiology_2022_SuppFig61.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
253_Haubrocketal_GlobalChangeBiology_2022_SuppFig62.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
256_Haubrocketal_GlobalChangeBiology_2022_SuppFig65.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
259_Haubrocketal_GlobalChangeBiology_2022_SuppFig68.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
260_Haubrocketal_GlobalChangeBiology_2022_SuppFig69.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
261_Haubrocketal_GlobalChangeBiology_2022_SuppFig70.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
262_Haubrocketal_GlobalChangeBiology_2022_SuppFig71.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
266_Haubrocketal_GlobalChangeBiology_2022_SuppFig75.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
267_Haubrocketal_GlobalChangeBiology_2022_SuppFig76.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
270_Haubrocketal_GlobalChangeBiology_2022_SuppFig79.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
271_Haubrocketal_GlobalChangeBiology_2022_SuppFig80.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
272_Haubrocketal_GlobalChangeBiology_2022_SuppFig81.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
274_Haubrocketal_GlobalChangeBiology_2022_SuppFig83.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
277_Haubrocketal_GlobalChangeBiology_2022_SuppFig86.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
279_Haubrocketal_GlobalChangeBiology_2022_SuppFig88.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
281_Haubrocketal_GlobalChangeBiology_2022_SuppFig90.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
283_Haubrocketal_GlobalChangeBiology_2022_SuppFig92.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
284_Haubrocketal_GlobalChangeBiology_2022_SuppFig93.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
285_Haubrocketal_GlobalChangeBiology_2022_SuppFig94.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
286_Haubrocketal_GlobalChangeBiology_2022_SuppFig95.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
288_Haubrocketal_GlobalChangeBiology_2022_SuppFig97.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
289_Haubrocketal_GlobalChangeBiology_2022_SuppFig98.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
295_Haubrocketal_GlobalChangeBiology_2022_SuppFig104.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
296_Haubrocketal_GlobalChangeBiology_2022_SuppFig105.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
297_Haubrocketal_GlobalChangeBiology_2022_SuppFig106.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
299_Haubrocketal_GlobalChangeBiology_2022_SuppFig108.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
300_Haubrocketal_GlobalChangeBiology_2022_SuppFig109.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
302_Haubrocketal_GlobalChangeBiology_2022_SuppFig111.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
305_Haubrocketal_GlobalChangeBiology_2022_SuppFig114.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
306_Haubrocketal_GlobalChangeBiology_2022_SuppFig115.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
307_Haubrocketal_GlobalChangeBiology_2022_SuppFig116.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
310_Haubrocketal_GlobalChangeBiology_2022_SuppFig119.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
312_Haubrocketal_GlobalChangeBiology_2022_SuppFig121.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
313_Haubrocketal_GlobalChangeBiology_2022_SuppFig122.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
314_Haubrocketal_GlobalChangeBiology_2022_SuppFig123.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
316_Haubrocketal_GlobalChangeBiology_2022_SuppFig125.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
317_Haubrocketal_GlobalChangeBiology_2022_SuppFig126.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
318_Haubrocketal_GlobalChangeBiology_2022_SuppFig127.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
319_Haubrocketal_GlobalChangeBiology_2022_SuppFig128.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
320_Haubrocketal_GlobalChangeBiology_2022_SuppFig129.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
321_Haubrocketal_GlobalChangeBiology_2022_SuppFig130.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
322_Haubrocketal_GlobalChangeBiology_2022_SuppFig131.jpg,1,Time,N,Invasion impacts and dynamics of a European-wide introduced species,(Haubrock et al. 2022),GLOBAL CHANGE BIOLOGY
